date,state,fips,cases,deaths
3/13/2020,Alabama,1,6,0
3/14/2020,Alabama,1,12,0
3/15/2020,Alabama,1,23,0
3/16/2020,Alabama,1,29,0
3/17/2020,Alabama,1,39,0
3/18/2020,Alabama,1,51,0
3/19/2020,Alabama,1,78,0
3/20/2020,Alabama,1,106,0
3/21/2020,Alabama,1,131,0
3/22/2020,Alabama,1,157,0
3/23/2020,Alabama,1,196,0
3/24/2020,Alabama,1,242,0
3/25/2020,Alabama,1,386,1
3/26/2020,Alabama,1,538,3
3/27/2020,Alabama,1,639,4
3/28/2020,Alabama,1,720,4
3/29/2020,Alabama,1,830,5
3/30/2020,Alabama,1,947,11
3/31/2020,Alabama,1,999,14
4/1/2020,Alabama,1,1108,28
4/2/2020,Alabama,1,1270,32
4/3/2020,Alabama,1,1535,38
4/4/2020,Alabama,1,1632,44
4/5/2020,Alabama,1,1840,45
4/6/2020,Alabama,1,2005,53
4/7/2020,Alabama,1,2197,64
4/8/2020,Alabama,1,2498,67
4/9/2020,Alabama,1,2838,78
4/10/2020,Alabama,1,3008,80
4/11/2020,Alabama,1,3262,93
4/12/2020,Alabama,1,3583,93
4/13/2020,Alabama,1,3805,104
4/14/2020,Alabama,1,3953,114
4/15/2020,Alabama,1,4241,123
4/16/2020,Alabama,1,4404,137
4/17/2020,Alabama,1,4572,151
4/18/2020,Alabama,1,4723,147
4/19/2020,Alabama,1,4903,160
4/20/2020,Alabama,1,5078,164
4/21/2020,Alabama,1,5327,186
4/22/2020,Alabama,1,5610,201
4/23/2020,Alabama,1,5832,197
4/24/2020,Alabama,1,6026,209
4/25/2020,Alabama,1,6213,213
4/26/2020,Alabama,1,6421,219
4/27/2020,Alabama,1,6539,228
4/28/2020,Alabama,1,6750,242
4/29/2020,Alabama,1,6925,262
4/30/2020,Alabama,1,7068,272
5/1/2020,Alabama,1,7294,289
5/2/2020,Alabama,1,7611,288
5/3/2020,Alabama,1,7888,290
5/4/2020,Alabama,1,8112,298
5/5/2020,Alabama,1,8437,315
5/6/2020,Alabama,1,8691,343
5/7/2020,Alabama,1,9046,369
5/8/2020,Alabama,1,9385,383
5/9/2020,Alabama,1,9668,390
5/10/2020,Alabama,1,9889,393
5/11/2020,Alabama,1,10164,403
5/12/2020,Alabama,1,10464,435
5/13/2020,Alabama,1,10700,450
5/14/2020,Alabama,1,11101,473
5/15/2020,Alabama,1,11373,483
5/16/2020,Alabama,1,11674,485
5/17/2020,Alabama,1,11771,488
5/18/2020,Alabama,1,12086,489
5/19/2020,Alabama,1,12376,504
5/20/2020,Alabama,1,13052,522
5/21/2020,Alabama,1,13414,529
5/22/2020,Alabama,1,13670,541
5/23/2020,Alabama,1,14149,549
5/24/2020,Alabama,1,14478,551
5/25/2020,Alabama,1,14986,566
5/26/2020,Alabama,1,15650,580
5/27/2020,Alabama,1,16032,583
5/28/2020,Alabama,1,16530,591
5/29/2020,Alabama,1,17031,610
5/30/2020,Alabama,1,17359,618
5/31/2020,Alabama,1,17952,630
6/1/2020,Alabama,1,18534,646
6/2/2020,Alabama,1,18771,653
6/3/2020,Alabama,1,18851,653
6/4/2020,Alabama,1,19072,653
6/5/2020,Alabama,1,19387,676
6/6/2020,Alabama,1,20043,689
6/7/2020,Alabama,1,20500,692
6/8/2020,Alabama,1,20925,718
6/9/2020,Alabama,1,21422,729
6/10/2020,Alabama,1,21989,744
6/11/2020,Alabama,1,22845,755
6/12/2020,Alabama,1,23710,769
6/13/2020,Alabama,1,24601,773
6/14/2020,Alabama,1,25615,773
6/15/2020,Alabama,1,26272,774
6/16/2020,Alabama,1,26912,785
6/17/2020,Alabama,1,27312,790
6/18/2020,Alabama,1,28206,810
6/19/2020,Alabama,1,29002,822
6/20/2020,Alabama,1,29549,838
6/21/2020,Alabama,1,30021,839
6/22/2020,Alabama,1,30454,841
6/23/2020,Alabama,1,31097,864
6/24/2020,Alabama,1,32064,891
6/25/2020,Alabama,1,33206,896
6/26/2020,Alabama,1,34183,907
6/27/2020,Alabama,1,35083,919
6/28/2020,Alabama,1,35441,919
6/29/2020,Alabama,1,37175,929
6/30/2020,Alabama,1,38045,950
7/1/2020,Alabama,1,38962,972
7/2/2020,Alabama,1,40111,985
7/3/2020,Alabama,1,41865,1006
7/4/2020,Alabama,1,42862,1007
7/5/2020,Alabama,1,43953,1007
7/6/2020,Alabama,1,44878,1007
7/7/2020,Alabama,1,45785,1033
7/8/2020,Alabama,1,46962,1058
7/9/2020,Alabama,1,49174,1068
7/10/2020,Alabama,1,50508,1104
7/11/2020,Alabama,1,51947,1114
7/12/2020,Alabama,1,53587,1121
7/13/2020,Alabama,1,55545,1124
7/14/2020,Alabama,1,57255,1164
7/15/2020,Alabama,1,59067,1211
7/16/2020,Alabama,1,61088,1230
7/17/2020,Alabama,1,63091,1265
7/18/2020,Alabama,1,65234,1286
7/19/2020,Alabama,1,67011,1287
7/20/2020,Alabama,1,68891,1291
7/21/2020,Alabama,1,70358,1303
7/22/2020,Alabama,1,71813,1364
7/23/2020,Alabama,1,74212,1397
7/24/2020,Alabama,1,76005,1438
7/25/2020,Alabama,1,78130,1456
7/26/2020,Alabama,1,79294,1473
7/27/2020,Alabama,1,81115,1491
7/28/2020,Alabama,1,82366,1491
7/29/2020,Alabama,1,83782,1538
7/30/2020,Alabama,1,85762,1565
7/31/2020,Alabama,1,87723,1580
8/1/2020,Alabama,1,89349,1603
8/2/2020,Alabama,1,91444,1627
8/3/2020,Alabama,1,92661,1633
8/4/2020,Alabama,1,93702,1666
8/5/2020,Alabama,1,94654,1695
8/6/2020,Alabama,1,96592,1714
8/7/2020,Alabama,1,98301,1735
8/8/2020,Alabama,1,100173,1755
8/9/2020,Alabama,1,101334,1768
8/10/2020,Alabama,1,103020,1797
8/11/2020,Alabama,1,103851,1847
8/12/2020,Alabama,1,104786,1882
8/13/2020,Alabama,1,105557,1890
8/14/2020,Alabama,1,106309,1893
8/15/2020,Alabama,1,107580,1896
8/16/2020,Alabama,1,108433,1898
8/17/2020,Alabama,1,109004,1925
8/18/2020,Alabama,1,110361,1936
8/19/2020,Alabama,1,111478,1944
8/20/2020,Alabama,1,112449,1974
8/21/2020,Alabama,1,113632,1996
8/22/2020,Alabama,1,114532,2011
8/23/2020,Alabama,1,115060,2013
8/24/2020,Alabama,1,116710,2024
8/25/2020,Alabama,1,117242,2037
8/26/2020,Alabama,1,119254,2045
8/27/2020,Alabama,1,121023,2076
8/28/2020,Alabama,1,122185,2107
8/29/2020,Alabama,1,123889,2152
8/30/2020,Alabama,1,125235,2162
8/31/2020,Alabama,1,126058,2182
9/1/2020,Alabama,1,127616,2200
9/2/2020,Alabama,1,128239,2217
9/3/2020,Alabama,1,129285,2233
9/4/2020,Alabama,1,130393,2266
9/5/2020,Alabama,1,131803,2275
9/6/2020,Alabama,1,132314,2276
9/7/2020,Alabama,1,132973,2276
9/8/2020,Alabama,1,133606,2277
9/9/2020,Alabama,1,134417,2285
9/10/2020,Alabama,1,135565,2301
9/11/2020,Alabama,1,136703,2333
9/12/2020,Alabama,1,137646,2350
9/13/2020,Alabama,1,138755,2351
9/14/2020,Alabama,1,139459,2355
9/15/2020,Alabama,1,140160,2387
9/16/2020,Alabama,1,141087,2392
9/17/2020,Alabama,1,141757,2401
9/18/2020,Alabama,1,142863,2428
9/19/2020,Alabama,1,144164,2437
9/20/2020,Alabama,1,144962,2437
9/21/2020,Alabama,1,145780,2439
9/22/2020,Alabama,1,146584,2457
9/23/2020,Alabama,1,147153,2488
9/24/2020,Alabama,1,148206,2506
9/25/2020,Alabama,1,150658,2491
9/26/2020,Alabama,1,151591,2501
9/27/2020,Alabama,1,152321,2502
9/28/2020,Alabama,1,152983,2501
9/29/2020,Alabama,1,153554,2517
9/30/2020,Alabama,1,154701,2540
10/1/2020,Alabama,1,155744,2548
10/2/2020,Alabama,1,156698,2550
10/3/2020,Alabama,1,158380,2558
10/4/2020,Alabama,1,159169,2558
10/5/2020,Alabama,1,159713,2559
10/6/2020,Alabama,1,160477,2580
10/7/2020,Alabama,1,161418,2601
10/8/2020,Alabama,1,161975,2637
10/9/2020,Alabama,1,163465,2653
10/10/2020,Alabama,1,164526,2664
10/11/2020,Alabama,1,165342,2664
10/12/2020,Alabama,1,166076,2665
10/13/2020,Alabama,1,167193,2665
10/14/2020,Alabama,1,167977,2706
10/15/2020,Alabama,1,169162,2756
10/16/2020,Alabama,1,170374,2786
10/17/2020,Alabama,1,171662,2788
10/18/2020,Alabama,1,172626,2788
10/19/2020,Alabama,1,173485,2789
10/20/2020,Alabama,1,174528,2805
10/21/2020,Alabama,1,175674,2828
10/22/2020,Alabama,1,177064,2843
10/23/2020,Alabama,1,180916,2859
10/24/2020,Alabama,1,183276,2866
10/25/2020,Alabama,1,184355,2866
10/26/2020,Alabama,1,185322,2866
10/27/2020,Alabama,1,186437,2892
10/28/2020,Alabama,1,187706,2911
10/29/2020,Alabama,1,189149,2914
10/30/2020,Alabama,1,190496,2932
10/31/2020,Alabama,1,192285,2967
11/1/2020,Alabama,1,193985,2973
11/2/2020,Alabama,1,194892,2973
11/3/2020,Alabama,1,195929,2987
11/4/2020,Alabama,1,197777,3006
11/5/2020,Alabama,1,199158,3026
11/6/2020,Alabama,1,200714,3049
11/7/2020,Alabama,1,202482,3082
11/8/2020,Alabama,1,203687,3084
11/9/2020,Alabama,1,204857,3084
11/10/2020,Alabama,1,206567,3120
11/11/2020,Alabama,1,208637,3201
11/12/2020,Alabama,1,210637,3213
11/13/2020,Alabama,1,213617,3231
11/14/2020,Alabama,1,215843,3246
11/15/2020,Alabama,1,217822,3248
11/16/2020,Alabama,1,219232,3249
11/17/2020,Alabama,1,220848,3301
11/18/2020,Alabama,1,223486,3347
11/19/2020,Alabama,1,225910,3419
11/20/2020,Alabama,1,228373,3451
11/21/2020,Alabama,1,230708,3457
11/22/2020,Alabama,1,232506,3457
11/23/2020,Alabama,1,234080,3459
11/24/2020,Alabama,1,236865,3472
11/25/2020,Alabama,1,239318,3532
11/26/2020,Alabama,1,241957,3572
11/27/2020,Alabama,1,242874,3572
11/28/2020,Alabama,1,244993,3572
11/29/2020,Alabama,1,247229,3577
11/30/2020,Alabama,1,249524,3578
12/1/2020,Alabama,1,252900,3638
12/2/2020,Alabama,1,256828,3711
12/3/2020,Alabama,1,260359,3776
